Rank,Player,CMP,PASS_ATT,PCT,Pass_YDS,Y/A,TD,INT,SACKS,Rush_ATT,Rush_YDS,Rush_TD,FL,G,FPTS,FPTS/G,ROST,COMP,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1.0,Josh Allen (BUF),385.0,579.0,66.5,"4,306",7.4,29.0,18.0,24.0,111.0,524.0,15.0,4.0,17.0,410.9,24.2,99.9%,385.0,"2,533",4.4,164.0,49.0,19.0,9.0,4.0,2.3,24.0,51.0,51.0,182.0,78.0,31.0,68.0,92.0
2.0,Jalen Hurts (PHI),352.0,538.0,65.4,"3,858",7.2,23.0,15.0,36.0,157.0,605.0,15.0,5.0,17.0,371.9,21.9,99.9%,352.0,"2,374",4.4,149.0,48.0,19.0,7.0,3.0,2.6,36.0,29.0,59.0,185.0,72.0,19.0,50.0,88.0
3.0,Dak Prescott (DAL),410.0,590.0,69.5,"4,516",7.7,36.0,9.0,39.0,55.0,242.0,2.0,2.0,17.0,352.0,20.7,95.9%,410.0,"2,768",4.7,179.0,62.0,24.0,7.0,2.0,2.4,39.0,46.0,26.0,163.0,69.0,38.0,104.0,104.0
4.0,Lamar Jackson (BAL),307.0,457.0,67.2,"3,678",8.0,24.0,7.0,37.0,148.0,821.0,5.0,6.0,16.0,338.2,21.1,99.9%,307.0,"2,140",4.7,150.0,51.0,21.0,9.0,5.0,2.7,37.0,29.0,22.0,169.0,73.0,22.0,61.0,102.0
5.0,Jordan Love (GB),372.0,579.0,64.2,"4,159",7.2,32.0,11.0,30.0,50.0,247.0,4.0,3.0,17.0,330.1,19.4,95.0%,372.0,"2,534",4.4,162.0,55.0,27.0,7.0,4.0,2.5,30.0,42.0,47.0,215.0,98.0,29.0,93.0,98.0
6.0,Brock Purdy (SF),308.0,444.0,69.4,"4,280",9.6,31.0,11.0,28.0,39.0,144.0,2.0,2.0,16.0,306.6,19.2,91.4%,308.0,"2,439",5.5,167.0,72.0,31.0,14.0,4.0,2.6,28.0,42.0,28.0,142.0,70.0,9.0,64.0,112.0
7.0,Jared Goff (DET),407.0,605.0,67.3,"4,575",7.6,30.0,12.0,30.0,32.0,21.0,2.0,3.0,17.0,302.9,17.8,72.5%,407.0,"2,739",4.5,180.0,69.0,19.0,9.0,2.0,2.3,30.0,69.0,42.0,213.0,87.0,35.0,73.0,99.0
8.0,Patrick Mahomes II (KC),401.0,597.0,67.2,"4,183",7.0,27.0,14.0,27.0,75.0,389.0,0.0,3.0,16.0,294.1,18.4,99.9%,401.0,"2,066",3.5,157.0,50.0,21.0,8.0,3.0,2.5,27.0,65.0,60.0,132.0,75.0,39.0,92.0,93.0
9.0,Tua Tagovailoa (MIA),388.0,560.0,69.3,"4,624",8.3,29.0,14.0,29.0,35.0,74.0,0.0,5.0,17.0,284.4,16.7,79.3%,388.0,"2,848",5.1,189.0,58.0,22.0,11.0,7.0,2.1,29.0,27.0,39.0,116.0,78.0,24.0,69.0,101.0
10.0,Baker Mayfield (TB),364.0,566.0,64.3,"4,044",7.1,28.0,10.0,40.0,62.0,163.0,1.0,3.0,17.0,284.0,16.7,31.4%,364.0,"2,370",4.2,145.0,60.0,22.0,12.0,5.0,2.4,40.0,35.0,37.0,140.0,81.0,24.0,60.0,95.0
11.0,C.J. Stroud (HOU),319.0,499.0,63.9,"4,108",8.2,23.0,5.0,38.0,39.0,167.0,3.0,4.0,15.0,280.1,18.7,99.2%,319.0,"2,533",5.1,160.0,66.0,19.0,9.0,6.0,2.5,38.0,38.0,47.0,126.0,94.0,18.0,58.0,100.0
12.0,Sam Howell (SEA),388.0,612.0,63.4,"3,946",6.4,21.0,21.0,65.0,48.0,263.0,5.0,2.0,17.0,277.6,16.3,0.7%,388.0,"2,284",3.7,157.0,44.0,18.0,4.0,1.0,2.4,65.0,57.0,39.0,181.0,88.0,25.0,60.0,75.0
13.0,Trevor Lawrence (JAC),370.0,564.0,65.6,"4,016",7.1,21.0,14.0,35.0,70.0,339.0,4.0,7.0,16.0,276.6,17.3,65.1%,370.0,"2,478",4.4,158.0,49.0,18.0,9.0,4.0,2.2,35.0,42.0,39.0,158.0,104.0,24.0,56.0,90.0
14.0,Russell Wilson (PIT),297.0,447.0,66.4,"3,070",6.9,26.0,8.0,45.0,80.0,341.0,3.0,5.0,15.0,264.9,17.7,6.7%,297.0,"1,712",3.8,114.0,36.0,19.0,10.0,3.0,2.7,45.0,48.0,42.0,144.0,55.0,17.0,70.0,97.0
15.0,Matthew Stafford (LAR),326.0,521.0,62.6,"3,965",7.6,24.0,11.0,30.0,21.0,65.0,0.0,0.0,15.0,254.3,17.0,47.9%,326.0,"2,305",4.4,154.0,62.0,28.0,8.0,3.0,2.5,30.0,43.0,27.0,172.0,94.0,33.0,78.0,93.0
16.0,Derek Carr (NO),375.0,548.0,68.4,"3,878",7.1,25.0,8.0,31.0,32.0,40.0,0.0,3.0,17.0,249.1,14.7,7.5%,375.0,"2,446",4.5,140.0,47.0,20.0,10.0,4.0,2.3,31.0,35.0,24.0,172.0,80.0,20.0,68.0,100.0
17.0,Justin Herbert (LAC),297.0,456.0,65.1,"3,134",6.9,20.0,7.0,29.0,52.0,228.0,3.0,1.0,13.0,240.2,18.5,63.2%,297.0,"1,836",4.0,119.0,42.0,12.0,4.0,3.0,2.4,29.0,42.0,36.0,158.0,71.0,22.0,63.0,89.0
18.0,Justin Fields (PIT),227.0,370.0,61.4,"2,562",6.9,16.0,9.0,44.0,124.0,657.0,4.0,4.0,13.0,239.1,18.4,6.8%,227.0,"1,472",4.0,95.0,45.0,16.0,4.0,3.0,2.8,44.0,33.0,44.0,143.0,58.0,13.0,47.0,84.0
19.0,Geno Smith (SEA),323.0,499.0,64.7,"3,624",7.3,20.0,9.0,31.0,37.0,155.0,1.0,3.0,15.0,235.4,15.7,21.0%,323.0,"2,157",4.3,142.0,46.0,21.0,5.0,4.0,2.4,31.0,46.0,63.0,145.0,67.0,24.0,67.0,91.0
20.0,Joshua Dobbs (SF),262.0,417.0,62.8,"2,464",5.9,13.0,10.0,30.0,77.0,421.0,6.0,7.0,13.0,210.5,16.2,0.6%,262.0,"1,622",3.9,97.0,28.0,4.0,2.0,1.0,2.6,30.0,58.0,23.0,121.0,67.0,15.0,48.0,81.0
21.0,Gardner Minshew II (LV),305.0,490.0,62.2,"3,305",6.7,15.0,9.0,34.0,34.0,100.0,3.0,5.0,16.0,205.2,12.8,3.9%,305.0,"1,902",3.9,125.0,36.0,20.0,11.0,5.0,2.4,34.0,30.0,32.0,169.0,70.0,26.0,58.0,86.0
22.0,Desmond Ridder (ARI),249.0,388.0,64.2,"2,836",7.3,12.0,12.0,31.0,53.0,193.0,5.0,7.0,15.0,188.1,12.5,0.6%,249.0,"1,789",4.6,113.0,34.0,14.0,7.0,3.0,2.3,31.0,28.0,26.0,90.0,55.0,17.0,47.0,82.0
23.0,Bryce Young (CAR),315.0,527.0,59.8,"2,877",5.5,11.0,10.0,62.0,39.0,253.0,0.0,6.0,16.0,166.5,10.4,9.4%,315.0,"1,778",3.4,109.0,26.0,10.0,4.0,0.0,2.5,62.0,50.0,38.0,166.0,103.0,23.0,39.0,74.0
24.0,Kirk Cousins (ATL),216.0,311.0,69.5,"2,331",7.5,18.0,5.0,17.0,14.0,25.0,0.0,4.0,8.0,154.9,19.4,62.2%,216.0,"1,462",4.7,95.0,34.0,12.0,4.0,3.0,2.5,17.0,45.0,21.0,106.0,39.0,16.0,45.0,103.0
25.0,Joe Burrow (CIN),244.0,365.0,66.8,"2,309",6.3,15.0,6.0,24.0,31.0,88.0,0.0,1.0,10.0,153.2,15.3,98.0%,244.0,"1,286",3.5,85.0,21.0,10.0,4.0,3.0,2.2,24.0,37.0,13.0,83.0,52.0,21.0,46.0,91.0
26.0,Kyler Murray (ARI),176.0,268.0,65.7,"1,799",6.7,10.0,5.0,18.0,44.0,244.0,3.0,0.0,8.0,151.4,18.9,94.3%,176.0,944,3.5,75.0,22.0,8.0,1.0,0.0,2.4,18.0,19.0,20.0,73.0,35.0,10.0,28.0,90.0
27.0,Jake Browning (CIN),171.0,243.0,70.4,"1,936",8.0,12.0,7.0,24.0,27.0,127.0,3.0,0.0,9.0,150.5,16.7,0.6%,171.0,986,4.1,77.0,25.0,9.0,6.0,3.0,2.5,24.0,26.0,25.0,80.0,23.0,9.0,30.0,93.0
28.0,Aidan O'Connell (LV),213.0,343.0,62.1,"2,218",6.5,12.0,7.0,24.0,17.0,11.0,1.0,2.0,11.0,132.8,12.1,0.8%,213.0,"1,281",3.7,86.0,23.0,10.0,4.0,1.0,2.4,24.0,22.0,7.0,101.0,56.0,15.0,45.0,83.0
29.0,Zach Wilson (DEN),221.0,368.0,60.1,"2,271",6.2,8.0,7.0,46.0,36.0,211.0,0.0,7.0,12.0,126.8,10.6,0.6%,221.0,"1,316",3.6,86.0,27.0,10.0,3.0,2.0,2.5,46.0,41.0,47.0,113.0,54.0,22.0,32.0,74.0
30.0,Mac Jones (JAC),224.0,345.0,64.9,"2,120",6.1,10.0,12.0,22.0,26.0,96.0,0.0,2.0,11.0,118.3,10.8,0.6%,224.0,"1,117",3.2,84.0,17.0,7.0,2.0,1.0,2.2,22.0,24.0,30.0,92.0,54.0,16.0,27.0,72.0
31.0,Kenny Pickett (PHI),201.0,324.0,62.0,"2,070",6.4,6.0,4.0,23.0,42.0,54.0,1.0,0.0,12.0,114.2,9.5,0.7%,201.0,"1,194",3.7,80.0,25.0,13.0,4.0,2.0,2.4,23.0,37.0,33.0,81.0,57.0,11.0,32.0,82.0
32.0,Joe Flacco (IND),123.0,204.0,60.3,"1,616",7.9,13.0,8.0,8.0,9.0,2.0,0.0,1.0,5.0,108.9,21.8,0.7%,123.0,993,4.9,52.0,27.0,14.0,9.0,5.0,2.6,8.0,14.0,19.0,46.0,35.0,9.0,26.0,92.0
33.0,Will Levis (TEN),149.0,255.0,58.4,"1,808",7.1,8.0,4.0,28.0,25.0,57.0,1.0,4.0,9.0,106.1,11.8,13.6%,149.0,"1,214",4.8,71.0,32.0,11.0,5.0,1.0,2.5,28.0,46.0,8.0,88.0,41.0,12.0,20.0,84.0
34.0,Tommy DeVito (NYG),114.0,178.0,64.0,"1,101",6.2,8.0,3.0,37.0,36.0,195.0,1.0,1.0,10.0,96.5,9.7,0.1%,114.0,614,3.4,37.0,16.0,5.0,2.0,0.0,2.6,37.0,9.0,16.0,68.0,21.0,8.0,15.0,77.0
35.0,Deshaun Watson (CLE),105.0,171.0,61.4,"1,115",6.5,7.0,4.0,17.0,26.0,142.0,1.0,2.0,6.0,90.9,15.2,36.8%,105.0,679,4.0,45.0,12.0,4.0,3.0,1.0,2.5,17.0,18.0,13.0,59.0,34.0,12.0,16.0,74.0
36.0,Tyrod Taylor (NYJ),116.0,180.0,64.4,"1,341",7.5,5.0,3.0,17.0,38.0,197.0,0.0,0.0,11.0,90.3,8.2,0.2%,116.0,824,4.6,45.0,19.0,8.0,4.0,2.0,2.3,17.0,15.0,19.0,55.0,24.0,11.0,13.0,71.0
37.0,Ryan Tannehill (FA),149.0,230.0,64.8,"1,616",7.0,4.0,7.0,32.0,17.0,74.0,1.0,0.0,9.0,87.0,9.7,0.1%,149.0,958,4.2,63.0,21.0,8.0,4.0,1.0,2.4,32.0,30.0,10.0,65.0,31.0,12.0,27.0,79.0
38.0,Bailey Zappe (KC),127.0,212.0,59.9,"1,272",6.0,6.0,9.0,25.0,17.0,83.0,1.0,1.0,10.0,78.2,7.8,0.0%,127.0,737,3.5,49.0,17.0,6.0,2.0,0.0,2.4,25.0,11.0,14.0,82.0,41.0,7.0,9.0,62.0
39.0,Nick Mullens (MIN),100.0,148.0,67.6,"1,306",8.8,7.0,8.0,12.0,10.0,25.0,0.0,0.0,5.0,74.6,14.9,0.1%,100.0,869,5.9,53.0,25.0,7.0,2.0,0.0,2.5,12.0,25.0,12.0,44.0,29.0,1.0,16.0,89.0
40.0,Anthony Richardson (IND),50.0,84.0,59.5,577,6.9,3.0,1.0,7.0,25.0,136.0,4.0,1.0,4.0,73.6,18.4,98.3%,50.0,325,3.9,20.0,9.0,5.0,0.0,0.0,2.6,7.0,5.0,10.0,24.0,17.0,6.0,5.0,88.0
41.0,Jimmy Garoppolo (LAR),110.0,169.0,65.1,"1,205",7.1,7.0,9.0,14.0,20.0,39.0,0.0,0.0,7.0,73.1,10.4,0.1%,110.0,771,4.6,59.0,9.0,2.0,0.0,0.0,2.5,14.0,15.0,5.0,51.0,30.0,5.0,21.0,72.0
42.0,Taylor Heinicke (LAC),74.0,136.0,54.4,890,6.5,5.0,4.0,8.0,15.0,124.0,1.0,0.0,5.0,70.0,14.0,0.0%,74.0,462,3.4,34.0,11.0,4.0,3.0,3.0,2.5,8.0,13.0,9.0,37.0,30.0,8.0,7.0,77.0
43.0,Easton Stick (LAC),111.0,174.0,63.8,"1,129",6.5,3.0,1.0,14.0,27.0,144.0,1.0,4.0,5.0,68.1,13.6,0.1%,111.0,644,3.7,41.0,12.0,2.0,2.0,2.0,2.4,14.0,11.0,6.0,67.0,32.0,8.0,11.0,87.0
44.0,Daniel Jones (NYG),108.0,160.0,67.5,909,5.7,2.0,6.0,30.0,40.0,206.0,1.0,1.0,6.0,63.0,10.5,7.1%,108.0,536,3.4,33.0,9.0,2.0,1.0,1.0,2.3,30.0,17.0,17.0,47.0,21.0,6.0,12.0,67.0
45.0,Tyson Bagent (CHI),94.0,143.0,65.7,859,6.0,3.0,6.0,5.0,23.0,109.0,2.0,2.0,5.0,59.3,11.9,0.1%,94.0,448,3.1,36.0,3.0,2.0,1.0,0.0,2.6,5.0,10.0,11.0,48.0,18.0,6.0,17.0,71.0
46.0,Mitchell Trubisky (BUF),67.0,107.0,62.6,632,5.9,4.0,5.0,7.0,16.0,54.0,2.0,1.0,5.0,53.7,10.7,0.1%,67.0,388,3.6,27.0,7.0,0.0,0.0,0.0,2.4,7.0,8.0,6.0,18.0,20.0,5.0,4.0,73.0
47.0,Mason Rudolph (TEN),55.0,74.0,74.3,719,9.7,3.0,0.0,6.0,10.0,8.0,0.0,1.0,4.0,39.6,9.9,0.1%,55.0,342,4.6,22.0,9.0,7.0,5.0,3.0,2.3,6.0,3.0,3.0,24.0,7.0,0.0,9.0,105.0
48.0,Drew Lock (NYG),48.0,76.0,63.2,543,7.1,3.0,3.0,6.0,5.0,14.0,0.0,0.0,4.0,32.1,8.0,0.1%,48.0,289,3.8,19.0,10.0,3.0,1.0,1.0,2.3,6.0,1.0,7.0,14.0,12.0,6.0,4.0,66.0
49.0,Trevor Siemian (FA),86.0,153.0,56.2,724,4.7,2.0,4.0,8.0,11.0,40.0,0.0,3.0,5.0,30.9,6.2,0.0%,86.0,316,2.1,30.0,8.0,1.0,0.0,0.0,2.2,8.0,16.0,4.0,46.0,33.0,2.0,17.0,57.0
50.0,Jarrett Stidham (DEN),40.0,66.0,60.6,496,7.5,2.0,1.0,7.0,9.0,8.0,0.0,0.0,3.0,27.7,9.2,0.6%,40.0,216,3.3,16.0,8.0,4.0,3.0,1.0,2.6,7.0,8.0,3.0,18.0,12.0,2.0,6.0,59.0
51.0,Carson Wentz (KC),17.0,24.0,70.8,163,6.8,2.0,1.0,2.0,17.0,56.0,1.0,0.0,2.0,27.1,13.6,0.2%,17.0,105,4.4,6.0,1.0,0.0,0.0,0.0,2.4,2.0,1.0,0.0,6.0,6.0,1.0,3.0,50.0
52.0,Dorian Thompson-Robinson (CLE),60.0,112.0,53.6,440,3.9,1.0,4.0,6.0,14.0,65.0,0.0,0.0,8.0,26.1,3.3,0.0%,60.0,272,2.4,17.0,1.0,0.0,0.0,0.0,2.4,6.0,10.0,7.0,38.0,21.0,11.0,15.0,50.0
53.0,Tyler Huntley (FA),21.0,37.0,56.8,203,5.5,3.0,0.0,4.0,15.0,55.0,0.0,0.0,5.0,25.6,5.1,0.0%,21.0,134,3.6,10.0,1.0,0.0,0.0,0.0,2.8,4.0,1.0,0.0,11.0,7.0,4.0,7.0,80.0
54.0,P.J. Walker (FA),54.0,111.0,48.6,674,6.1,1.0,5.0,11.0,13.0,30.0,0.0,2.0,6.0,24.9,4.2,0.0%,54.0,328,3.0,25.0,11.0,4.0,3.0,1.0,2.6,11.0,20.0,7.0,29.0,32.0,6.0,11.0,42.0
55.0,Sam Darnold (MIN),28.0,46.0,60.9,297,6.5,2.0,1.0,6.0,21.0,15.0,1.0,1.0,10.0,24.3,2.4,5.8%,28.0,156,3.4,11.0,3.0,1.0,1.0,0.0,2.9,6.0,2.0,1.0,8.0,12.0,0.0,11.0,39.0
56.0,Andy Dalton (CAR),34.0,58.0,58.6,361,6.2,2.0,0.0,3.0,3.0,12.0,0.0,0.0,3.0,23.6,7.9,0.1%,34.0,254,4.4,13.0,5.0,1.0,1.0,0.0,2.2,3.0,5.0,2.0,14.0,11.0,5.0,1.0,29.0
57.0,Jacoby Brissett (NE),18.0,23.0,78.3,224,9.7,3.0,0.0,0.0,3.0,19.0,0.0,0.0,3.0,22.9,7.6,0.8%,18.0,164,7.1,9.0,4.0,1.0,1.0,0.0,2.5,0.0,2.0,0.0,2.0,1.0,1.0,8.0,94.0
58.0,C.J. Beathard (FA),40.0,53.0,75.5,349,6.6,1.0,0.0,6.0,8.0,35.0,0.0,0.0,8.0,21.5,2.7,0.0%,40.0,214,4.0,15.0,2.0,1.0,1.0,0.0,2.2,6.0,5.0,1.0,14.0,4.0,2.0,10.0,55.0
59.0,Davis Mills (HOU),18.0,39.0,46.2,173,4.4,2.0,0.0,2.0,2.0,9.0,0.0,0.0,6.0,17.9,3.0,0.1%,18.0,104,2.7,10.0,0.0,0.0,0.0,0.0,2.4,2.0,1.0,2.0,7.0,8.0,4.0,6.0,53.0
60.0,Jeff Driskel (WAS),13.0,26.0,50.0,166,6.4,2.0,2.0,3.0,7.0,33.0,0.0,0.0,1.0,15.9,15.9,0.0%,13.0,97,3.7,7.0,2.0,1.0,0.0,0.0,2.4,3.0,5.0,0.0,3.0,4.0,4.0,0.0,64.0
61.0,Tim Boyle (FA),48.0,77.0,62.3,360,4.7,1.0,4.0,9.0,4.0,5.0,0.0,0.0,3.0,14.9,5.0,0.0%,48.0,207,2.7,9.0,2.0,2.0,0.0,0.0,2.3,9.0,6.0,8.0,7.0,18.0,4.0,5.0,50.0
62.0,Jameis Winston (CLE),25.0,47.0,53.2,264,5.6,2.0,3.0,2.0,5.0,-6.0,0.0,0.0,7.0,14.9,2.1,0.7%,25.0,187,4.0,13.0,4.0,1.0,0.0,0.0,2.1,2.0,2.0,3.0,19.0,10.0,3.0,4.0,30.0
63.0,Case Keenum (HOU),34.0,53.0,64.2,291,5.5,1.0,3.0,6.0,2.0,1.0,0.0,0.0,2.0,12.8,6.4,0.0%,34.0,195,3.7,9.0,3.0,1.0,1.0,0.0,2.5,6.0,5.0,1.0,16.0,7.0,2.0,5.0,56.0
64.0,Marcus Mariota (WAS),15.0,23.0,65.2,164,7.1,1.0,1.0,3.0,8.0,52.0,0.0,1.0,3.0,12.7,4.2,0.1%,15.0,100,4.3,9.0,1.0,0.0,0.0,0.0,2.4,3.0,1.0,2.0,9.0,2.0,0.0,3.0,54.0
65.0,Clayton Tune (ARI),12.0,21.0,57.1,62,3.0,0.0,2.0,7.0,8.0,30.0,1.0,1.0,8.0,9.5,1.2,0.0%,12.0,34,1.6,2.0,0.0,0.0,0.0,0.0,2.2,7.0,3.0,1.0,4.0,2.0,1.0,0.0,13.0
66.0,Blaine Gabbert (FA),18.0,35.0,51.4,185,5.3,0.0,3.0,1.0,7.0,45.0,0.0,0.0,2.0,8.9,4.5,0.0%,18.0,85,2.4,8.0,2.0,1.0,0.0,0.0,1.9,1.0,10.0,0.0,10.0,6.0,5.0,1.0,45.0
67.0,Brian Hoyer (FA),23.0,42.0,54.8,231,5.5,0.0,2.0,1.0,3.0,-3.0,0.0,0.0,3.0,7.0,2.3,0.0%,23.0,157,3.7,9.0,2.0,1.0,1.0,0.0,2.1,1.0,1.0,1.0,14.0,10.0,1.0,8.0,44.0
68.0,Brett Rypien (MIN),18.0,38.0,47.4,172,4.5,0.0,1.0,2.0,3.0,19.0,0.0,1.0,2.0,5.8,2.9,0.0%,18.0,90,2.4,8.0,1.0,1.0,0.0,0.0,2.4,2.0,4.0,2.0,8.0,6.0,2.0,0.0,53.0
69.0,Cooper Rush (DAL),18.0,24.0,75.0,144,6.0,0.0,1.0,1.0,12.0,-5.0,0.0,0.0,8.0,4.2,0.5,0.1%,18.0,82,3.4,6.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,12.0,6.0,0.0,1.0,67.0
70.0,Malik Willis (GB),4.0,5.0,80.0,74,14.8,0.0,0.0,4.0,5.0,21.0,0.0,1.0,3.0,3.1,1.0,0.1%,4.0,24,4.8,2.0,1.0,1.0,1.0,0.0,2.8,4.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0
71.0,Jaren Hall (FA),13.0,20.0,65.0,168,8.4,0.0,1.0,4.0,6.0,14.0,0.0,2.0,3.0,3.1,1.0,0.0%,13.0,76,3.8,6.0,2.0,1.0,1.0,0.0,2.7,4.0,2.0,1.0,9.0,5.0,0.0,3.0,80.0
72.0,Mike White (BUF),5.0,6.0,83.3,74,12.3,1.0,1.0,0.0,8.0,-9.0,0.0,1.0,6.0,3.1,0.5,0.1%,5.0,41,6.8,1.0,1.0,1.0,1.0,1.0,1.7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,53.0
73.0,Sean Clifford (GB),1.0,1.0,100.0,37,37.0,0.0,0.0,0.0,3.0,-2.0,0.0,0.0,2.0,1.3,0.7,0.1%,1.0,34,34.0,1.0,1.0,1.0,0.0,0.0,2.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0
74.0,AJ McCarron (FA),4.0,5.0,80.0,19,3.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.8,0.4,0.0%,4.0,5,1.0,1.0,0.0,0.0,0.0,0.0,2.3,1.0,0.0,0.0,3.0,1.0,0.0,0.0,82.0
75.0,Logan Woodside (CIN),3.0,4.0,75.0,27,6.8,0.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,0.7,0.7,0.0%,3.0,2,0.5,2.0,0.0,0.0,0.0,0.0,2.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0
78.0,Aaron Rodgers (NYJ),0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0
82.0,Sam Ehlinger (IND),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,Chris Oladokun (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,Max Duggan (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,Malik Cunningham (BAL),0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
105.0,Skylar Thompson (MIA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,Jacob Eason (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,Kyle Trask (TB),0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,2.0,-0.1,-0.1,0.1%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0
120.0,Teddy Bridgewater (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,1.0,-0.2,-0.2,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,Matt Barkley (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,1.0,-0.3,-0.3,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,Nathan Peterman (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,2.0,-4.0,0.0,0.0,2.0,-0.4,-0.2,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
123.0,Kyle Allen (PIT),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.0,-13.0,0.0,0.0,7.0,-1.3,-0.2,0.0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
